"","country","pop","continent","lifeExp","gdpPercap"
"1","Afghanistan",22227415,"Asia",41.763,635.341351
"2","Albania",3428038,"Europe",72.95,3193.054604
"3","Algeria",29072015,"Africa",69.152,4797.295051
"4","Angola",9875024,"Africa",40.963,2277.140884
"5","Argentina",36203463,"Americas",73.275,10967.28195
"6","Australia",18565243,"Oceania",78.83,26997.93657
"7","Austria",8069876,"Europe",77.51,29095.92066
"8","Bahrain",598561,"Asia",73.925,20292.01679
"9","Bangladesh",123315288,"Asia",59.412,972.7700352
"10","Belgium",10199787,"Europe",77.53,27561.19663
"11","Benin",6066080,"Africa",54.777,1232.975292
"12","Bolivia",7693188,"Americas",62.05,3326.143191
"13","Bosnia and Herzegovina",3607000,"Europe",73.244,4766.355904
"14","Botswana",1536536,"Africa",52.556,8647.142313
"15","Brazil",168546719,"Americas",69.388,7957.980824
"16","Bulgaria",8066057,"Europe",70.32,5970.38876
"17","Burkina Faso",10352843,"Africa",50.324,946.2949618
"18","Burundi",6121610,"Africa",45.326,463.1151478
"19","Cambodia",11782962,"Asia",56.534,734.28517
"20","Cameroon",14195809,"Africa",52.199,1694.337469
"21","Canada",30305843,"Americas",78.61,28954.92589
"22","Central African Republic",3696513,"Africa",46.066,740.5063317
"23","Chad",7562011,"Africa",51.573,1004.961353
"24","Chile",14599929,"Americas",75.816,10118.05318
"25","China",1230075000,"Asia",70.426,2289.234136
"26","Colombia",37657830,"Americas",70.313,6117.361746
"27","Comoros",527982,"Africa",60.66,1173.618235
"28","Congo Dem. Rep.",47798986,"Africa",42.587,312.188423
"29","Congo Rep.",2800947,"Africa",52.962,3484.164376
"30","Costa Rica",3518107,"Americas",77.26,6677.045314
"31","Cote d'Ivoire",14625967,"Africa",47.991,1786.265407
"32","Croatia",4444595,"Europe",73.68,9875.604515
"33","Cuba",10983007,"Americas",76.151,5431.990415
"34","Czech Republic",10300707,"Europe",74.01,16048.51424
"35","Denmark",5283663,"Europe",76.11,29804.34567
"36","Djibouti",417908,"Africa",53.157,1895.016984
"37","Dominican Republic",7992357,"Americas",69.957,3614.101285
"38","Ecuador",11911819,"Americas",72.312,7429.455877
"39","Egypt",66134291,"Africa",67.217,4173.181797
"40","El Salvador",5783439,"Americas",69.535,5154.825496
"41","Equatorial Guinea",439971,"Africa",48.245,2814.480755
"42","Eritrea",4058319,"Africa",53.378,913.47079
"43","Ethiopia",59861301,"Africa",49.402,515.8894013
"44","Finland",5134406,"Europe",77.13,23723.9502
"45","France",58623428,"Europe",78.64,25889.78487
"46","Gabon",1126189,"Africa",60.461,14722.84188
"47","Gambia",1235767,"Africa",55.861,653.7301704
"48","Germany",82011073,"Europe",77.34,27788.88416
"49","Ghana",18418288,"Africa",58.556,1005.245812
"50","Greece",10502372,"Europe",77.869,18747.69814
"51","Guatemala",9803875,"Americas",66.322,4684.313807
"52","Guinea",8048834,"Africa",51.455,869.4497668
"53","Guinea-Bissau",1193708,"Africa",44.873,796.6644681
"54","Haiti",6913545,"Americas",56.671,1341.726931
"55","Honduras",5867957,"Americas",67.659,3160.454906
"56","Hong Kong China",6495918,"Asia",80,28377.63219
"57","Hungary",10244684,"Europe",71.04,11712.7768
"58","Iceland",271192,"Europe",78.95,28061.09966
"59","India",959000000,"Asia",61.765,1458.817442
"60","Indonesia",199278000,"Asia",66.041,3119.335603
"61","Iran",63327987,"Asia",68.042,8263.590301
"62","Iraq",20775703,"Asia",58.811,3076.239795
"63","Ireland",3667233,"Europe",76.122,24521.94713
"64","Israel",5531387,"Asia",78.269,20896.60924
"65","Italy",57479469,"Europe",78.82,24675.02446
"66","Jamaica",2531311,"Americas",72.262,7121.924704
"67","Japan",125956499,"Asia",80.69,28816.58499
"68","Jordan",4526235,"Asia",69.772,3645.379572
"69","Kenya",28263827,"Africa",54.407,1360.485021
"70","Korea Dem. Rep.",21585105,"Asia",67.727,1690.756814
"71","Korea Rep.",46173816,"Asia",74.647,15993.52796
"72","Kuwait",1765345,"Asia",76.156,40300.61996
"73","Lebanon",3430388,"Asia",70.265,8754.96385
"74","Lesotho",1982823,"Africa",55.558,1186.147994
"75","Liberia",2200725,"Africa",42.221,609.1739508
"76","Libya",4759670,"Africa",71.555,9467.446056
"77","Madagascar",14165114,"Africa",54.978,986.2958956
"78","Malawi",10419991,"Africa",47.495,692.2758103
"79","Malaysia",20476091,"Asia",71.938,10132.90964
"80","Mali",9384984,"Africa",49.903,790.2579846
"81","Mauritania",2444741,"Africa",60.43,1483.136136
"82","Mauritius",1149818,"Africa",70.736,7425.705295
"83","Mexico",95895146,"Americas",73.67,9767.29753
"84","Mongolia",2494803,"Asia",63.625,1902.2521
"85","Montenegro",692651,"Europe",75.445,6465.613349
"86","Morocco",28529501,"Africa",67.66,2982.101858
"87","Mozambique",16603334,"Africa",46.344,472.3460771
"88","Myanmar",43247867,"Asia",60.328,415
"89","Namibia",1774766,"Africa",58.909,3899.52426
"90","Nepal",23001113,"Asia",59.426,1010.892138
"91","Netherlands",15604464,"Europe",78.03,30246.13063
"92","New Zealand",3676187,"Oceania",77.55,21050.41377
"93","Nicaragua",4609572,"Americas",68.426,2253.023004
"94","Niger",9666252,"Africa",51.313,580.3052092
"95","Nigeria",106207839,"Africa",47.464,1624.941275
"96","Norway",4405672,"Europe",78.32,41283.16433
"97","Oman",2283635,"Asia",72.499,19702.05581
"98","Pakistan",135564834,"Asia",61.818,2049.350521
"99","Panama",2734531,"Americas",73.738,7113.692252
"100","Paraguay",5154123,"Americas",69.4,4247.400261
"101","Peru",24748122,"Americas",68.386,5838.347657
"102","Philippines",75012988,"Asia",68.564,2536.534925
"103","Poland",38654957,"Europe",72.75,10159.58368
"104","Portugal",10156415,"Europe",75.97,17641.03156
"105","Puerto Rico",3759430,"Americas",74.917,16999.4333
"106","Reunion",684810,"Africa",74.772,6071.941411
"107","Romania",22562458,"Europe",69.72,7346.547557
"108","Rwanda",7212583,"Africa",36.087,589.9445051
"109","Sao Tome and Principe",145608,"Africa",63.306,1339.076036
"110","Saudi Arabia",21229759,"Asia",70.533,20586.69019
"111","Senegal",9535314,"Africa",60.187,1392.368347
"112","Serbia",10336594,"Europe",72.232,7914.320304
"113","Sierra Leone",4578212,"Africa",39.897,574.6481576
"114","Singapore",3802309,"Asia",77.158,33519.4766
"115","Slovak Republic",5383010,"Europe",72.71,12126.23065
"116","Slovenia",2011612,"Europe",75.13,17161.10735
"117","Somalia",6633514,"Africa",43.795,930.5964284
"118","South Africa",42835005,"Africa",60.236,7479.188244
"119","Spain",39855442,"Europe",78.77,20445.29896
"120","Sri Lanka",18698655,"Asia",70.457,2664.477257
"121","Sudan",32160729,"Africa",55.373,1632.210764
"122","Swaziland",1054486,"Africa",54.289,3876.76846
"123","Sweden",8897619,"Europe",79.39,25266.59499
"124","Switzerland",7193761,"Europe",79.37,32135.32301
"125","Syria",15081016,"Asia",71.527,4014.238972
"126","Taiwan",21628605,"Asia",75.25,20206.82098
"127","Tanzania",30686889,"Africa",48.466,789.1862231
"128","Thailand",60216677,"Asia",67.521,5852.625497
"129","Togo",4320890,"Africa",58.39,982.2869243
"130","Trinidad and Tobago",1138101,"Americas",69.465,8792.573126
"131","Tunisia",9231669,"Africa",71.973,4876.798614
"132","Turkey",63047647,"Europe",68.835,6601.429915
"133","Uganda",21210254,"Africa",44.578,816.559081
"134","United Kingdom",58808266,"Europe",77.218,26074.53136
"135","United States",272911760,"Americas",76.81,35767.43303
"136","Uruguay",3262838,"Americas",74.223,9230.240708
"137","Venezuela",22374398,"Americas",72.146,10165.49518
"138","Vietnam",76048996,"Asia",70.672,1385.896769
"139","West Bank and Gaza",2826046,"Asia",71.096,7110.667619
"140","Yemen Rep.",15826497,"Asia",58.02,2117.484526
"141","Zambia",9417789,"Africa",40.238,1071.353818
"142","Zimbabwe",11404948,"Africa",46.809,792.4499603
